text,intent
Is the flight <MASKED_FLIGHT_NUM> on time?,flight_status
Can you confirm if flight <MASKED_FLIGHT_NUM> is running as scheduled?,flight_status
Do you know if flight <MASKED_FLIGHT_NUM> is departing on time?,flight_status
Is airplane <MASKED_FLIGHT_NUM> still on time?,flight_status
Can you check the schedule for flight <MASKED_FLIGHT_NUM>?,flight_status
Please confirm the status of airplane <MASKED_FLIGHT_NUM>. Is it on time?,flight_status
Do you have updates on flight <MASKED_FLIGHT_NUM>? Is it on time?,flight_status
Is the aircraft <MASKED_FLIGHT_NUM> still scheduled to depart on time?,flight_status
What is the current status of flight <MASKED_FLIGHT_NUM>?,flight_status
Has flight <MASKED_FLIGHT_NUM> taken off yet?,flight_status
Can you provide the latest updates on flight <MASKED_FLIGHT_NUM>?,flight_status
Is flight <MASKED_FLIGHT_NUM> delayed or on time?,flight_status
When is flight <MASKED_FLIGHT_NUM> expected to land?,flight_status
Can you verify the arrival time for flight <MASKED_FLIGHT_NUM>?,flight_status
I need the departure status of flight <MASKED_FLIGHT_NUM>.,flight_status
Is flight 345 on time?,flight_status
Can you check the status of flight 6789?,flight_status
What is the latest update on flight 1234?,flight_status
Has flight 4567 boarded yet?,flight_status
Is flight 8901 delayed?,flight_status
Can you confirm if flight 2345 is departing soon?,flight_status
Did flight 8765 take off on time?,flight_status
Is airplane 4321 running as scheduled?,flight_status
Please check if flight 9999 is in the air.,flight_status
Has flight 123 taken off?,flight_status
Can you track the status of flight 777?,flight_status
Is flight 5432 experiencing any delays?,flight_status
I need updates on flight 1111.,flight_status
What is the departure time for flight 5678?,flight_status
Do you know the arrival time of flight 3333?,flight_status
Has flight 432 taken off or been delayed?,flight_status
Can I get the latest status for flight 6543?,flight_status
Is the aircraft 2121 on schedule?,flight_status
Is flight 8989 boarding yet?,flight_status
What’s the estimated time of arrival for flight 2020?,flight_status
Can you check the delay status of flight 5050?,flight_status
Is flight <MASKED_FLIGHT_NUM> grounded?,flight_status
Has flight <MASKED_FLIGHT_NUM> landed safely?,flight_status
What is the expected departure for flight 747?,flight_status
Do you know if flight 3456 has left the gate?,flight_status
Is flight 8888 arriving on time?,flight_status
I need to verify the schedule of flight 654?,flight_status
Is flight 3339 still on track for departure?,flight_status
Do you know if flight <MASKED_FLIGHT_NUM> is boarding now?,flight_status
What is the estimated time of departure for flight 7777?,flight_status
Is flight 1818 rescheduled or on time?,flight_status
Can you track if flight 444 is in the air?,flight_status
Is there a delay for flight 6969?,flight_status
