prompt,status,response
"Has airplane <MASKED_FLIGHT_NUM> been delayed, or is it on time?",DELAYED,"Due to unexpected reasons, airline <MASKED_FLIGHT_NUM> has been delayed to <MASKED_FLIGHT_TIME>."
Has there been a schedule change for airplane <MASKED_FLIGHT_NUM>?,DELAYED,We apologize for the delay of service <MASKED_FLIGHT_NUM>. The new expected time is <MASKED_FLIGHT_TIME>.
Can you check if airplane <MASKED_FLIGHT_NUM> is running on schedule?,DELAYED,There is a delay for jet <MASKED_FLIGHT_NUM>. The revised departure is at <MASKED_FLIGHT_TIME>.
Can you confirm the departure status of flight <MASKED_FLIGHT_NUM>?,BOARDING,The boarding process for airline <MASKED_FLIGHT_NUM> is currently taking place at gate terminal entrance.
Please confirm the status of airplane <MASKED_FLIGHT_NUM>. Is it on time?,ON_TIME,plane <MASKED_FLIGHT_NUM> is on time with a departure time of <MASKED_FLIGHT_TIME>.
Has the schedule for service <MASKED_FLIGHT_NUM> changed?,ON_TIME,flight <MASKED_FLIGHT_NUM> is on time and set to depart at <MASKED_FLIGHT_TIME>.
Is flight <MASKED_FLIGHT_NUM> currently running on time?,DEPARTED,The flight airplane <MASKED_FLIGHT_NUM> has left the airport.
Can you check if the plane <MASKED_FLIGHT_NUM> is on schedule today?,BOARDING,Boarding for flight <MASKED_FLIGHT_NUM> is currently happening at gate gate location.
What’s the update on flight <MASKED_FLIGHT_NUM>? Is it on schedule?,BOARDING,Please proceed to gate airside gate for the boarding of jet <MASKED_FLIGHT_NUM>.
"Has flight <MASKED_FLIGHT_NUM> been delayed, or is it running on time?",DELAYED,There is a delay affecting aircraft <MASKED_FLIGHT_NUM>. The new departure time is <MASKED_FLIGHT_TIME>.
Do you know the current departure time for flight <MASKED_FLIGHT_NUM>?,DEPARTED,The flight carrier <MASKED_FLIGHT_NUM> is on its way to its destination.
Can you provide the latest status of flight <MASKED_FLIGHT_NUM>?,CANCELLED,"Regrettably, carrier <MASKED_FLIGHT_NUM> is no longer operating. Kindly get in touch with customer service for help."
Can you confirm if flight <MASKED_FLIGHT_NUM> is running as scheduled?,BOARDING,Please proceed to gate departure point for service <MASKED_FLIGHT_NUM> boarding.
What’s the expected departure time for service <MASKED_FLIGHT_NUM>?,DEPARTED,The flight airplane <MASKED_FLIGHT_NUM> is already airborne and heading to its destination.
Do you know if aircraft <MASKED_FLIGHT_NUM> is leaving on schedule?,CANCELLED,We regret to inform you that carrier <MASKED_FLIGHT_NUM> has been cancelled. Our customer service team is ready to assist.
"Has flight <MASKED_FLIGHT_NUM> been delayed, or is it on time?",DEPARTED,airplane <MASKED_FLIGHT_NUM> has left the gate.
Do you know if flight <MASKED_FLIGHT_NUM> is departing on time?,DEPARTED,Flight flight <MASKED_FLIGHT_NUM> is already on its way to the airport's destination.
Can you check if the airplane <MASKED_FLIGHT_NUM> is on schedule?,CANCELLED,"We apologize, but airline <MASKED_FLIGHT_NUM> is cancelled. Please contact customer support for a new booking."
Could you tell me if airplane <MASKED_FLIGHT_NUM> is on schedule?,DEPARTED,The flight airplane <MASKED_FLIGHT_NUM> is already in flight and on its way.
Is the flight number <MASKED_FLIGHT_NUM> still expected to depart on time?,DELAYED,The adjusted departure time for plane <MASKED_FLIGHT_NUM> is <MASKED_FLIGHT_TIME>.
"Has flight <MASKED_FLIGHT_NUM> been delayed, or is it running on time?",CANCELLED,We apologize for the inconvenience. aircraft <MASKED_FLIGHT_NUM> is cancelled. Please reach out to customer support for your options.
Has the schedule for service <MASKED_FLIGHT_NUM> changed?,ON_TIME,Great news! airline <MASKED_FLIGHT_NUM> is on time and scheduled to leave at <MASKED_FLIGHT_TIME>.
Can I get a confirmation that service <MASKED_FLIGHT_NUM> is on time?,DEPARTED,Flight plane <MASKED_FLIGHT_NUM> has already left the airport and is now on its way.
Do you have updates about flight <MASKED_FLIGHT_NUM>? Is it on time?,ON_TIME,The flight airline <MASKED_FLIGHT_NUM> is confirmed to be on time with a departure at <MASKED_FLIGHT_TIME>.
Do you know if flight <MASKED_FLIGHT_NUM> is departing on time?,DELAYED,"Unfortunately, carrier <MASKED_FLIGHT_NUM> has been delayed. It is now set to depart at <MASKED_FLIGHT_TIME>."
What’s the expected departure schedule for plane <MASKED_FLIGHT_NUM>?,DELAYED,We regret the delay for airplane <MASKED_FLIGHT_NUM>. The new departure time is <MASKED_FLIGHT_TIME>.
Can you verify if flight <MASKED_FLIGHT_NUM> is still on time?,DEPARTED,jet <MASKED_FLIGHT_NUM> is no longer at the airport.
Do you know if flight <MASKED_FLIGHT_NUM> is scheduled to leave soon?,ON_TIME,Smooth travels! jet <MASKED_FLIGHT_NUM> is on time for a <MASKED_FLIGHT_TIME> departure.
Can you check if airplane <MASKED_FLIGHT_NUM> is running on schedule?,DELAYED,airline <MASKED_FLIGHT_NUM> has a delay. The departure is now planned for <MASKED_FLIGHT_TIME>.
Is the plane <MASKED_FLIGHT_NUM> on time or facing delays?,DEPARTED,airline <MASKED_FLIGHT_NUM> has taken off and is now airborne.
Can you confirm if plane <MASKED_FLIGHT_NUM> is departing as scheduled?,DEPARTED,plane <MASKED_FLIGHT_NUM> is no longer on the ground.
Is flight <MASKED_FLIGHT_NUM> still scheduled to leave on time?,DELAYED,carrier <MASKED_FLIGHT_NUM> is delayed. Please expect the flight to leave at <MASKED_FLIGHT_TIME>.
Is flight <MASKED_FLIGHT_NUM> confirmed to leave as scheduled?,ON_TIME,carrier <MASKED_FLIGHT_NUM> stays on schedule for <MASKED_FLIGHT_TIME>.
Could you check if service <MASKED_FLIGHT_NUM> is on schedule?,DEPARTED,plane <MASKED_FLIGHT_NUM> has already taken off from the airport.
Can you tell me if flight <MASKED_FLIGHT_NUM> is still leaving on time?,DEPARTED,aircraft <MASKED_FLIGHT_NUM> has left the gate.
"Has flight <MASKED_FLIGHT_NUM> been delayed, or is it on time?",CANCELLED,We regret to inform you that airline <MASKED_FLIGHT_NUM> has been cancelled. Reach out to customer support for alternatives.
Please confirm the status of airplane <MASKED_FLIGHT_NUM>. Is it on time?,BOARDING,Now boarding for airline <MASKED_FLIGHT_NUM> at gate boarding station.
Do you know if aircraft <MASKED_FLIGHT_NUM> is leaving on schedule?,ON_TIME,airplane <MASKED_FLIGHT_NUM> is on time and set to depart at <MASKED_FLIGHT_TIME>.
Do you know if flight <MASKED_FLIGHT_NUM> is departing on time?,DELAYED,"We apologize for the inconvenience, but jet <MASKED_FLIGHT_NUM> is delayed. New departure: <MASKED_FLIGHT_TIME>."
Can you confirm that service <MASKED_FLIGHT_NUM> is departing on schedule?,ON_TIME,Perfect! airline <MASKED_FLIGHT_NUM> is on time and ready to depart at <MASKED_FLIGHT_TIME>.
Can you confirm if the aircraft <MASKED_FLIGHT_NUM> is running as planned?,BOARDING,Gate flight access point is now open for boarding passengers for plane <MASKED_FLIGHT_NUM>.
What’s the current departure schedule for flight <MASKED_FLIGHT_NUM>?,ON_TIME,There’s no delay for service <MASKED_FLIGHT_NUM>. It will depart on time at <MASKED_FLIGHT_TIME>.
