text,entities
What is the status of my flight QF5402?,"[{'start': 32, 'end': 38, 'label': 'B-FLIGHT'}]"
Please let me know about flight LH3348.,"[{'start': 32, 'end': 38, 'label': 'B-FLIGHT'}]"
Your booking for flight QR2782 is confirmed.,"[{'start': 24, 'end': 30, 'label': 'B-FLIGHT'}]"
Flight BA6153 has been rescheduled.,"[{'start': 7, 'end': 13, 'label': 'B-FLIGHT'}]"
Flight UL7943 has been rescheduled.,"[{'start': 7, 'end': 13, 'label': 'B-FLIGHT'}]"
Has EK7556 landed yet?,"[{'start': 4, 'end': 10, 'label': 'B-FLIGHT'}]"
Is there any update for flight DL4630?,"[{'start': 31, 'end': 37, 'label': 'B-FLIGHT'}]"
Has UL4143 landed yet?,"[{'start': 4, 'end': 10, 'label': 'B-FLIGHT'}]"
Flight EK5076 has been rescheduled.,"[{'start': 7, 'end': 13, 'label': 'B-FLIGHT'}]"
Your booking for flight BA9598 is confirmed.,"[{'start': 24, 'end': 30, 'label': 'B-FLIGHT'}]"
My flight number is EK1930.,"[{'start': 20, 'end': 26, 'label': 'B-FLIGHT'}]"
Flight QR6567 has been rescheduled.,"[{'start': 7, 'end': 13, 'label': 'B-FLIGHT'}]"
Flight QF2215 has been rescheduled.,"[{'start': 7, 'end': 13, 'label': 'B-FLIGHT'}]"
Is there any update for flight EK5041?,"[{'start': 31, 'end': 37, 'label': 'B-FLIGHT'}]"
Is there any update for flight BA1241?,"[{'start': 31, 'end': 37, 'label': 'B-FLIGHT'}]"
I missed flight QR3764 this morning.,"[{'start': 16, 'end': 22, 'label': 'B-FLIGHT'}]"
Has LH6704 landed yet?,"[{'start': 4, 'end': 10, 'label': 'B-FLIGHT'}]"
Flight AF7136 has been rescheduled.,"[{'start': 7, 'end': 13, 'label': 'B-FLIGHT'}]"
Flight CX9688 has been rescheduled.,"[{'start': 7, 'end': 13, 'label': 'B-FLIGHT'}]"
Flight CX1924 has been rescheduled.,"[{'start': 7, 'end': 13, 'label': 'B-FLIGHT'}]"
I missed flight BA1874 this morning.,"[{'start': 16, 'end': 22, 'label': 'B-FLIGHT'}]"
Is there any update for flight LH3611?,"[{'start': 31, 'end': 37, 'label': 'B-FLIGHT'}]"
Flight UL7296 has been rescheduled.,"[{'start': 7, 'end': 13, 'label': 'B-FLIGHT'}]"
When will BA2508 depart?,"[{'start': 10, 'end': 16, 'label': 'B-FLIGHT'}]"
Flight UL9489 has been rescheduled.,"[{'start': 7, 'end': 13, 'label': 'B-FLIGHT'}]"
Please let me know about flight UL7214.,"[{'start': 32, 'end': 38, 'label': 'B-FLIGHT'}]"
Is there any update for flight AF2876?,"[{'start': 31, 'end': 37, 'label': 'B-FLIGHT'}]"
Has QF9253 landed yet?,"[{'start': 4, 'end': 10, 'label': 'B-FLIGHT'}]"
Has CX1405 landed yet?,"[{'start': 4, 'end': 10, 'label': 'B-FLIGHT'}]"
What is the status of my flight QR3415?,"[{'start': 32, 'end': 38, 'label': 'B-FLIGHT'}]"
Is there any update for flight UL8378?,"[{'start': 31, 'end': 37, 'label': 'B-FLIGHT'}]"
Flight LH4143 was delayed due to weather.,"[{'start': 7, 'end': 13, 'label': 'B-FLIGHT'}]"
Is there any update for flight QR2633?,"[{'start': 31, 'end': 37, 'label': 'B-FLIGHT'}]"
Please let me know about flight UL3925.,"[{'start': 32, 'end': 38, 'label': 'B-FLIGHT'}]"
Flight QR6771 has been rescheduled.,"[{'start': 7, 'end': 13, 'label': 'B-FLIGHT'}]"
Please let me know about flight CX1761.,"[{'start': 32, 'end': 38, 'label': 'B-FLIGHT'}]"
Please let me know about flight CX2633.,"[{'start': 32, 'end': 38, 'label': 'B-FLIGHT'}]"
What is the status of my flight AA749?,"[{'start': 32, 'end': 37, 'label': 'B-FLIGHT'}]"
When will LH7461 depart?,"[{'start': 10, 'end': 16, 'label': 'B-FLIGHT'}]"
My flight number is DL4991.,"[{'start': 20, 'end': 26, 'label': 'B-FLIGHT'}]"
What is the status of my flight LH8641?,"[{'start': 32, 'end': 38, 'label': 'B-FLIGHT'}]"
Flight QR1459 has been rescheduled.,"[{'start': 7, 'end': 13, 'label': 'B-FLIGHT'}]"
Please let me know about flight CX208.,"[{'start': 32, 'end': 37, 'label': 'B-FLIGHT'}]"
Has EK2273 landed yet?,"[{'start': 4, 'end': 10, 'label': 'B-FLIGHT'}]"
Your booking for flight AF2876 is confirmed.,"[{'start': 24, 'end': 30, 'label': 'B-FLIGHT'}]"
Has QR3887 landed yet?,"[{'start': 4, 'end': 10, 'label': 'B-FLIGHT'}]"
When will LH3415 depart?,"[{'start': 10, 'end': 16, 'label': 'B-FLIGHT'}]"
