prompt,status,response,sentiment
Can I carry duty-free items as part of my hand luggage?,DELAYED,We regret the delay. Your baggage will be delivered soon.,positive
Has my baggage been dispatched for delivery?,NO_STATUS,We currently have no updates for your baggage. Please contact support.,neutral
What is the delay time for baggage from flight <MASKED_FLIGHT_NUM>?,NO_STATUS,We currently have no updates for your baggage. Please contact support.,negative
What is the process for claiming delayed baggage?,DELAYED,We regret the delay. Your baggage will be delivered soon.,neutral
What is the procedure for carrying medicines in checked-in baggage?,DELAYED,We regret the delay. Your baggage will be delivered soon.,neutral
How can I track my checked-in baggage?,NO_STATUS,We currently have no updates for your baggage. Please contact support.,neutral
What is the expected delivery time for baggage from flight <MASKED_FLIGHT_NUM>?,GENERIC,Please check our baggage policy online or contact our team for details.,positive
Is there any compensation for lost baggage?,NO_STATUS,We currently have no updates for your baggage. Please contact support.,negative
Why is baggage unloading delayed for flight <MASKED_FLIGHT_NUM>?,ON_TIME,Your baggage is on time and will be available shortly.,neutral
Can I carry sharp objects like scissors or knives in my checked luggage?,ON_TIME,Your baggage is on time and will be available shortly.,negative
Can you confirm the weight limit for carry-on baggage?,ON_TIME,Your baggage is on time and will be available shortly.,neutral
I need help finding my missing baggage.,ON_TIME,Your baggage is on time and will be available shortly.,negative
How long will it take for my delayed baggage to arrive?,DELAYED,We regret the delay. Your baggage will be delivered soon.,neutral
Can I carry fragile items in my baggage?,DELAYED,We regret the delay. Your baggage will be delivered soon.,positive
Can you tell me if my baggage is still at the departure airport?,NO_STATUS,We currently have no updates for your baggage. Please contact support.,positive
Has my baggage from flight <MASKED_FLIGHT_NUM> arrived?,NO_STATUS,We currently have no updates for your baggage. Please contact support.,negative
What is the baggage weight limit for international flights?,DELAYED,We regret the delay. Your baggage will be delivered soon.,negative
Was my baggage mishandled after flight <MASKED_FLIGHT_NUM>?,GENERIC,Please check our baggage policy online or contact our team for details.,negative
Where can I collect my baggage after flight <MASKED_FLIGHT_NUM>?,ON_TIME,Your baggage is on time and will be available shortly.,neutral
I think my baggage is lost. What do I do now?,DELAYED,We regret the delay. Your baggage will be delivered soon.,positive
What is the maximum weight allowed for checked-in baggage?,NO_STATUS,We currently have no updates for your baggage. Please contact support.,neutral
What is the baggage weight limit for international flights?,NO_STATUS,We currently have no updates for your baggage. Please contact support.,negative
What are the restrictions for carrying liquids and gels in cabin bags?,DELAYED,We regret the delay. Your baggage will be delivered soon.,negative
I need help finding my missing baggage.,DELAYED,We regret the delay. Your baggage will be delivered soon.,positive
Why is my baggage not on the carousel for flight <MASKED_FLIGHT_NUM>?,DELAYED,We regret the delay. Your baggage will be delivered soon.,neutral
Why is baggage unloading delayed for flight <MASKED_FLIGHT_NUM>?,NO_STATUS,We currently have no updates for your baggage. Please contact support.,negative
What is the maximum size of a cabin bag?,NO_STATUS,We currently have no updates for your baggage. Please contact support.,negative
Why is baggage unloading delayed for flight <MASKED_FLIGHT_NUM>?,ON_TIME,Your baggage is on time and will be available shortly.,positive
I think my baggage is lost. What do I do now?,ON_TIME,Your baggage is on time and will be available shortly.,neutral
My baggage has not arrived. Can you help?,DELAYED,We regret the delay. Your baggage will be delivered soon.,positive
Why is my baggage not on the carousel for flight <MASKED_FLIGHT_NUM>?,GENERIC,Please check our baggage policy online or contact our team for details.,neutral
Is there any compensation for lost baggage?,DELAYED,We regret the delay. Your baggage will be delivered soon.,negative
Are there any restrictions on carrying liquids in hand luggage?,NO_STATUS,We currently have no updates for your baggage. Please contact support.,neutral
What is the process for claiming delayed baggage?,DELAYED,We regret the delay. Your baggage will be delivered soon.,positive
What is the procedure for carrying medicines in checked-in baggage?,ON_TIME,Your baggage is on time and will be available shortly.,neutral
Can you tell me if my baggage is still at the airport?,NO_STATUS,We currently have no updates for your baggage. Please contact support.,positive
I haven’t received my baggage from flight <MASKED_FLIGHT_NUM>. What should I do?,GENERIC,Please check our baggage policy online or contact our team for details.,neutral
I haven’t received my baggage from flight <MASKED_FLIGHT_NUM>. What should I do?,NO_STATUS,We currently have no updates for your baggage. Please contact support.,negative
How do I track my delayed baggage from flight <MASKED_FLIGHT_NUM>?,NO_STATUS,We currently have no updates for your baggage. Please contact support.,positive
I haven’t received my baggage from flight <MASKED_FLIGHT_NUM>. What should I do?,ON_TIME,Your baggage is on time and will be available shortly.,neutral
What is the maximum number of bags allowed for international flights?,ON_TIME,Your baggage is on time and will be available shortly.,neutral
Can I carry fragile items in my baggage?,NO_STATUS,We currently have no updates for your baggage. Please contact support.,negative
Can I carry sharp objects like scissors or knives in my checked luggage?,ON_TIME,Your baggage is on time and will be available shortly.,negative
Can I carry sharp objects like scissors or knives in my checked luggage?,NO_STATUS,We currently have no updates for your baggage. Please contact support.,negative
When can I expect my baggage to be delivered?,ON_TIME,Your baggage is on time and will be available shortly.,negative
Is there a charge for cabin baggage exceeding weight limits?,ON_TIME,Your baggage is on time and will be available shortly.,positive
Can I update the delivery address for delayed baggage?,GENERIC,Please check our baggage policy online or contact our team for details.,neutral
